entity_uid,entity_label,entity_text,attribute_name,attribute_value,evidence,source,confidence,extract_method
Person:alan_turing_ce,Person,Alan Turing,occupation,mathematician,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,computer scientist,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,logician,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,cryptanalyst,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,philosopher,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,theoretical biologist,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,nationality,English,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:manchester_university,Organization,University of Manchester,org_type,university,"In 1948, Turing joined Max Newman's Computing Machine Laboratory at the University of Manchester, where he contributed to the development of early Manchester computers and became interested in mathematical biology.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,engineer,"Turing's mother, Julius's wife, was Ethel Sara Turing (née Stoney), daughter of Edward Waller Stoney, chief engineer of the Madras Railways.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,nationality,German,The Entscheidungsproblem (decision problem) was originally posed by German mathematician David Hilbert in 1928.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,codebreaker,"The historian and wartime codebreaker Asa Briggs has said, ""You needed exceptional talent, you needed genius at Bletchley and Turing's was that genius.""",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bell_labs,Organization,Bell Labs,org_type,laboratory,"Following his work at Bell Labs in the US, Turing pursued the idea of electronic enciphering of speech in the telephone system.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,programmer,"Turing wrote the first version of the Programmer's Manual for this machine, was elected to membership of the Manchester Literary and Philosophical Society, and was recruited by Ferranti as a consultant in the development of their commercialised machine, the Ferranti Mark 1.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,nationality,British,"In August 2009, British programmer John Graham-Cumming started a petition urging the British government to apologise for Turing's prosecution as a homosexual.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing_ce,Person,Alan Turing,occupation,physicist,"Leech continued to take the bill through Parliament and campaigned for several years, gaining the public support of numerous leading scientists, including the physicist Stephen Hawking.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,occupation,cryptanalyst,"Joan Elisabeth Lowther Murray, MBE (née Clarke; 24 June 1917 – 4 September 1996) was an English cryptanalyst and numismatist who worked as a code-breaker at Bletchley Park during the Second World War.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,nationality,English,"Joan Elisabeth Lowther Murray, MBE (née Clarke; 24 June 1917 – 4 September 1996) was an English cryptanalyst and numismatist who worked as a code-breaker at Bletchley Park during the Second World War.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,occupation,mathematician,"Her work in an undergraduate geometry class at Cambridge drew the attention of mathematician Gordon Welchman, who became her academic supervisor.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,occupation,codebreaker,"""From the Archives: A Lady Codebreaker Speaks: Joan Murray, the Bombes and the Perils of Writing Crypto-History From Participants' Accounts"".",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:alonzo_church_cro,Person,Alonzo Church,birth_date,1903,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church_cro,Person,Alonzo Church,death_date,"August 11, 1995","Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church_cro,Person,Alonzo Church,occupation,computer scientist,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
